event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub added,11:27:59,10.1109/infvis.2005.1532128,,,,,
Pub added,11:27:59,10.1109/visual.1991.175815,,,,,
Pub added,11:27:59,10.1145/102377.115768,,,,,
Update,11:27:59,,,,,,,3
Pub suggested,11:28:5,10.1109/infvis.2001.963283,Ordered treemap layouts,Shneiderman and Wattenberg,3,1,
Pub suggested,11:28:5,10.1109/visual.1992.235217,Improving the visualization of hierarchies with treemaps: design issues and experimentation,Turo and Johnson,3,2,
Pub suggested,11:28:5,10.1016/j.jvlc.2015.10.002,A mobile interface for navigating hierarchical information space,Chhetri et al.,3,3,
Pub suggested,11:28:5,10.1109/tvcg.2010.79,The Design Space of Implicit Hierarchy Visualization: a Survey,Schulz et al.,3,4,
Pub suggested,11:28:5,10.1109/iv.2009.22,TreemapBar: Visualizing Additional Dimensions of Data in Bar Chart,Huang et al.,3,5,
Pub suggested,11:28:5,10.1109/vissof.2002.1019798,The CONCEPT project – applying source code analysis to reduce information complexity of static and dynamic visualization techniques,Rilling et al.,3,6,
Pub suggested,11:28:5,10.1109/vl.1996.545307,The eyes have it: a task by data type taxonomy for information visualizations,Shneiderman,3,7,
Pub suggested,11:28:5,10.2196/40805,Visualization of Traditional Chinese Medicine Formulas: Development and Usability Study,Wu et al.,3,8,
Pub suggested,11:28:5,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,3,9,
Pub suggested,11:28:5,10.2196/preprints.40805,Visualization of Traditional Chinese Medicine Formulas: Development and Usability Study (Preprint),Wu et al.,3,10,
Pub suggested,11:28:5,10.3390/info11020123,Depicting More Information in Enriched Squarified Treemaps with Layered Glyphs,Soares et al.,3,11,
Pub suggested,11:28:5,10.1108/el-10-2019-0238,Forming a TED talks sphere for convenient search,Shih et al.,3,12,
Pub suggested,11:28:5,10.1109/tvcg.2019.2934535,BarcodeTree: Scalable Comparison of Multiple Hierarchies,Li et al.,3,13,
Pub suggested,11:28:5,10.1145/3430036.3430054,Survey on user studies on the effectiveness of treemaps,Fiedler et al.,3,14,
Pub suggested,11:28:5,10.1109/vissoft51673.2020.00017,Memory Cities: Visualizing Heap Memory Evolution Using the Software City Metaphor,Weninger et al.,3,15,
Pub suggested,11:28:5,10.1109/tvcg.2019.2934209,Selection Bias Tracking and Detailed Subset Comparison for High-Dimensional Data,Borland et al.,3,16,
Pub suggested,11:28:5,10.1109/snams.2018.8554961,Decision Tree Visualization for High-Dimensional Numerical Data,Szucs and Schmidt,3,17,
Pub suggested,11:28:5,10.1177/2378023118772982,Visualizing Hierarchical Social Networks,Gemici and Vashevko,3,18,
Pub suggested,11:28:5,10.1080/00207543.2017.1388931,Strategic eco-design map of the complex products: toward visualisation of the design for environment,Keivanpour and Ait Kadi,3,19,
Pub suggested,11:28:5,10.1007/978-3-319-53676-7_4,Explorative Analysis of Recommendations through Interactive Visualization,Richthammer and Pernul,3,20,
Pub suggested,11:28:5,10.1007/s12650-015-0329-3,Navigation in large hierarchical graph through chain-context views,Liang et al.,3,21,
Pub suggested,11:28:5,10.1007/978-1-4899-7993-3_1132-2,Treemaps,Fekete,3,22,
Pub suggested,11:28:5,10.1109/smartcity.2015.181,SpaceViz: Visualization Tool for the Computer Storage Big-Data,Thomas et al.,3,23,
Pub suggested,11:28:5,10.1109/pacificvis.2015.7156360,Variational circular treemaps for interactive visualization of hierarchical data,Haisen Zhao and Lu,3,24,
Pub suggested,11:28:5,10.1109/indin.2015.7281844,Simulation repository visualisation and exploration,Fish et al.,3,25,
Pub suggested,11:28:5,10.1109/tvcg.2014.2346276,Nmap: a Novel Neighborhood Preservation Space-filling Algorithm,Duarte et al.,3,26,
