event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub added,13:59:9,10.1109/tvcg.2010.79,,,,,
Pub added,13:59:9,10.1145/571647.571649,,,,,
Pub added,13:59:9,10.1145/102377.115768,,,,,
Pub added,13:59:9,10.1109/tvcg.2007.70529,,,,,
Pub added,13:59:9,10.1007/978-3-7091-6783-0_4,,,,,
Pub added,13:59:9,10.1109/visual.1991.175815,,,,,
Pub added,13:59:9,10.1109/infvis.1999.801860,,,,,
Pub added,13:59:9,10.1145/3430036.3430041,,,,,
Pub added,13:59:9,10.1109/tvcg.2006.200,,,,,
Pub added,13:59:9,10.1109/pacificvis.2015.7156360,,,,,
Pub added,13:59:9,10.1007/s41651-020-00053-8,,,,,
Pub added,13:59:9,10.1109/sibgrapi.2018.00027,,,,,
Pub added,13:59:9,10.1109/visual.1992.235217,,,,,
Pub added,13:59:9,10.1007/978-3-030-41590-7_10,,,,,
Pub added,13:59:9,10.1007/978-3-030-61864-3_33,,,,,
Pub added,13:59:9,10.1016/j.jvlc.2015.10.009,,,,,
Pub added,13:59:9,10.1109/iv.2012.23,,,,,
Pub added,13:59:9,10.1177/1473871611424815,,,,,
Pub added,13:59:9,10.1109/pacificvis.2009.4906844,,,,,
Pub added,13:59:9,10.1145/2602161.2602183,,,,,
Pub added,13:59:9,10.1109/tvcg.2018.2865265,,,,,
Pub added,13:59:9,10.1007/s00371-017-1373-x,,,,,
Pub added,13:59:9,10.1007/s00180-011-0272-2,,,,,
Pub added,13:59:9,10.1145/1056018.1056041,,,,,
Update,13:59:9,,,,,,,24
Pub suggested,13:59:21,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,24,1,
Pub suggested,13:59:21,10.1109/tvcg.2012.108,Enhanced Spatial Stability with Hilbert and Moore Treemaps,Tak and Cockburn,24,2,
Pub suggested,13:59:21,10.1109/infvis.2001.963283,Ordered treemap layouts,Shneiderman and Wattenberg,24,3,
Pub suggested,13:59:21,10.1109/tvcg.2014.2346276,Nmap: a Novel Neighborhood Preservation Space-filling Algorithm,Duarte et al.,24,4,
Pub suggested,13:59:21,10.1109/infvis.2005.1532128,Voronoi Treemaps,Balzer and Deussen,24,5,
Pub suggested,13:59:21,10.1111/cgf.13989,Quantitative Comparison of Time‐Dependent Treemaps,Vernier et al.,24,6,
Pub suggested,13:59:21,10.1145/3105971.3105976,Map-like visualisations vs. treemaps:  an experimental comparison,Biuk-Aghai et al.,24,7,
Pub suggested,13:59:21,10.1109/tvcg.2022.3209450,SizePairs: Achieving Stable and Balanced Temporal Treemaps using Hierarchical Size-based Pairing,Han et al.,24,8,
Pub suggested,13:59:21,10.1016/j.jvlc.2015.10.002,A mobile interface for navigating hierarchical information space,Chhetri et al.,24,9,
Pub suggested,13:59:21,10.1109/tvcg.2008.165,Spatially Ordered Treemaps,Wood and Dykes,24,10,
Pub suggested,13:59:21,10.1145/632716.632834,Visualizing the stock market,Wattenberg,24,11,
Pub suggested,13:59:21,10.1109/infvis.2005.1532145,A note on space-filling visualizations and space-filling curves,Wattenberg,24,12,
Pub suggested,13:59:21,10.1109/tvcg.2017.2743959,Bubble Treemaps for Uncertainty Visualization,Gortler et al.,24,13,
Pub suggested,13:59:21,10.1109/tvcg.2017.2745140,Stable Treemaps via Local Moves,Sondag et al.,24,14,
Pub suggested,13:59:21,10.1109/iv.2017.67,Mixed-Projection Treemaps: a Novel Approach Mixing 2D and 2.5D Treemaps,Limberger et al.,24,15,
Pub suggested,13:59:21,10.1051/matecconf/20165601007,2-D Layout for Tree Visualization: a survey,Wang et al.,24,16,
Pub suggested,13:59:21,10.1145/2801040.2801056,Enhanced Hexagon-Tiling Algorithm for Map-Like Information Visualisation,Yang and Biuk-Aghai,24,17,
Pub suggested,13:59:21,10.1109/isvd.2010.16,Fast Dynamic Voronoi Treemaps,Sud et al.,24,18,
Pub suggested,13:59:21,10.1145/1377676.1377683,Circular partitions with applications to visualization and embeddings,Onak and Sidiropoulos,24,19,
Pub suggested,13:59:21,10.1057/palgrave.ivs.9500087,EncCon: an Approach to Constructing Interactive Visualization of Large Hierarchical Data,Nguyen and Huang,24,20,
Pub suggested,13:59:21,10.1109/infvis.2000.885091,Focus+context display and navigation techniques for enhancing radial_ space-filling hierarchy visualizations,Stasko and Zhang,24,21,
Pub suggested,13:59:21,10.1109/tvcg.2019.2934535,BarcodeTree: Scalable Comparison of Multiple Hierarchies,Li et al.,24,22,
Pub suggested,13:59:21,10.1109/vissoft.2018.00018,Quantitative Comparison of Dynamic Treemaps for Software Evolution Visualization,Faccin Vernier et al.,24,23,
Pub suggested,13:59:21,10.1186/s40537-015-0022-3,Cabinet Tree: an orthogonal enclosure approach to visualizing and exploring big data,Yang et al.,24,24,
Pub suggested,13:59:21,10.1109/tvcg.2013.91,GosperMap: Using a Gosper Curve for Laying Out Hierarchical Data,Auber et al.,24,25,
Pub suggested,13:59:21,10.1109/tvcg.2012.205,Capturing the Design Space of Sequential Space-Filling Layouts,Baudel and Broeksema,24,26,
Pub suggested,13:59:21,10.1109/mcg.2011.103,Treevis.net: a Tree Visualization Reference,Schulz,24,27,
Pub suggested,13:59:21,10.1109/tvcg.2010.110,Visualization of the Static Aspects of Software: a Survey,Caserta and Zendra,24,28,
Pub suggested,13:59:21,10.1109/tvcg.2009.128,Configuring Hierarchical Layouts to Address Research Questions,Slingsby et al.,24,29,
Pub suggested,13:59:21,10.1109/iv.2009.97,Treemaps and Choropleth Maps Applied to Regional Hierarchical Statistical Data,Jern et al.,24,30,
Pub suggested,13:59:21,10.1109/pacificvis.2008.4475475,Interactive Visual Analysis of the NSF Funding Information,Liu et al.,24,31,
Pub suggested,13:59:21,10.1109/tvcg.2007.70540,Browsing Zoomable Treemaps: Structure-Aware Multi-Scale Navigation Techniques,Blanch and Lecolinet,24,32,
Pub suggested,13:59:21,10.1145/1124772.1124851,Visualization of large hierarchical data by circle packing,Wang et al.,24,33,
Pub suggested,13:59:21,10.1007/978-3-540-27795-8_6,Extending Tree-Maps to Three Dimensions: a Comparative Study,Bladh et al.,24,34,
